,City,Lat,Long,score_7_days,mean_temperature_7_days,most_freq_weather_7_days,mean_prob_of_rain_7_days
0,Collioure,42.52505,3.0831554,12.91125,13.94875,Clouds,0.10374999999999998
1,Nimes,43.8374249,4.3600687,12.701249999999998,13.938749999999999,Clear,0.12374999999999999
2,Avignon,43.9492493,4.8059012,12.115,13.0025,Clouds,0.08875
3,Aigues Mortes,43.5658225,4.1912837,11.9875,13.275,Clear,0.12874999999999998
4,Aix en Provence,43.5298424,5.4474738,11.85125,13.36375,Clouds,0.15125000000000002
5,Uzes,44.0121279,4.4196718,11.5075,12.995000000000001,Clouds,0.14875
6,Marseille,43.2961743,5.3699525,11.2725,12.9475,Clear,0.16749999999999998
7,Saintes Maries de la mer,43.4522771,4.4287172,11.256250000000001,12.45625,Clouds,0.12
8,Cassis,43.2140359,5.5396318,10.518749999999999,12.91875,Rain,0.24000000000000005
9,Carcassonne,43.2130358,2.3491069,10.29,12.2775,Rain,0.19875
10,Bormes les Mimosas,43.1506968,6.3419285,9.8425,12.805,Rain,0.29625
11,La Rochelle,46.1591126,-1.1520434,9.83625,10.46125,Clouds,0.0625
12,Montauban,44.0175835,1.3549991,9.5275,11.1525,Rain,0.1625
13,Bayonne,43.4945144,-1.4736657,9.46875,11.54375,Clear,0.20750000000000002
14,Toulouse,43.6044622,1.4442469,8.90625,11.28125,Clear,0.2375
15,Biarritz,43.471143749999996,-1.552726590666314,8.584999999999999,10.6725,Clear,0.20875
16,Mont Saint Michel,48.6359541,-1.511459954959514,8.221250000000001,9.54625,Clouds,0.1325
17,St Malo,48.649518,-2.0260409,6.915000000000002,8.427500000000002,Rain,0.15125
18,Paris,48.8534951,2.3483915,6.673750000000002,9.248750000000001,Rain,0.25749999999999995
19,Colmar,48.0777517,7.3579641,6.115,8.2775,Clouds,0.21625
20,Eguisheim,48.0447968,7.3079618,6.01375,8.17625,Clouds,0.21625
21,Strasbourg,48.584614,7.7507127,6.004999999999999,7.7299999999999995,Clouds,0.17250000000000001
22,Rouen,49.4404591,1.0939658,5.558749999999998,8.646249999999998,Clouds,0.30874999999999997
23,Grenoble,45.1875602,5.7357819,4.806249999999999,8.04375,Rain,0.32375000000000004
24,Le Havre,49.4938975,0.1079732,4.784999999999999,7.885,Rain,0.31000000000000005
25,Bayeux,49.2764624,-0.7024738,4.534999999999998,7.847499999999999,Rain,0.33125000000000004
26,Besancon,47.2380222,6.0243622,4.516249999999999,7.21625,Rain,0.27
27,Amiens,49.8941708,2.2956951,4.30375,8.01625,Rain,0.37124999999999997
28,Lyon,45.7578137,4.8320114,4.077499999999999,8.3525,Rain,0.42750000000000005
29,Annecy,45.8992348,6.1288847,3.7262500000000003,7.27625,Rain,0.355
30,Lille,50.6365654,3.0635282,3.59,7.74,Rain,0.41500000000000004
31,Dijon,47.3215806,5.0414701,3.3912500000000003,7.25375,Rain,0.38625
32,Gorges du Verdon,43.7496562,6.3285616,3.38875,8.95125,Rain,0.55625
33,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,2.80125,5.10125,Rain,0.23000000000000004
34,Ariege,42.9455368,1.4065544156065486,1.7137499999999997,4.57625,Clear,0.28625
